_index,_type,_id,_version,_score,_source.topic,_source.status,_source.naber,_source.time,_source.message_number
quicksight_anko,_doc,ZmOcPYwBPVAW4LXW26_f,1,10.096087,HLT-700U,z05-11-04,202624,12/06/2023 1:10:00 pm,0.097737
quicksight_anko,_doc,HYkGPowBPu2lw1Eyb7Wf,1,10.096087,HLT-700U,z05-11-04,202944,12/06/2023 2:55:00 pm,0.142903
quicksight_anko,_doc,GmNZQ4wBPVAW4LXWR_Yq,1,10.096087,HLT-700U,z05-11-04,202943,01/04/2024 4:17:00 pm,0.1445
quicksight_anko,_doc,hVq5s4sBPVAW4LXWxutt,1,10.096087,HLT-700U,z05-11-04,202578,11/09/2023 7:20:00 pm,0.061449
quicksight_anko,_doc,ngwhlIsBdMoyJm4g8J91,1,10.096087,HLT-700U,z05-11-04,202704,11/03/2023 3:44:00 pm,0.093036
quicksight_anko,_doc,'-RQc14sBdMoyJm4gsly6,1,10.096087,HLT-700U,z05-11-04,202963,11/16/2023 3:46:00 pm,0.155653
quicksight_anko,_doc,BRQc14sBdMoyJm4gyl3U,1,10.096087,HLT-700U,z05-11-04,202963,11/16/2023 3:46:00 pm,0.106532
quicksight_anko,_doc,G3rMv40BR2M06yWaSbfj,1,10.096087,HLT-700U,z05-11-04,202951,02/19/2024 1:21:00 pm,0.091551
quicksight_anko,_doc,QaDMv40BCGnGzzdjTQfB,1,10.096087,HLT-700U,z05-11-04,202951,02/19/2024 1:21:00 pm,0.074664
quicksight_anko,_doc,UqDMv40BCGnGzzdjVQe7,1,10.096087,HLT-700U,z05-11-04,202951,02/19/2024 1:21:00 pm,0.105178
quicksight_anko,_doc,WaDMv40BCGnGzzdjXwfW,1,10.096087,HLT-700U,z05-11-04,202951,02/19/2024 1:21:00 pm,0.084236
quicksight_anko,_doc,caDMv40BCGnGzzdjdAfh,1,10.096087,HLT-700U,z05-11-04,202951,02/19/2024 1:21:00 pm,0.119683
quicksight_anko,_doc,K6AyxY0BCGnGzzdj1Tpx,1,10.096087,HLT-700U,z05-11-04,202951,02/20/2024 2:31:00 pm,0.070205
quicksight_anko,_doc,_a3eVY4BCGnGzzdj268d,1,10.096087,HLT-700U,z05-11-04,202624,03/19/2024 4:35:00 pm,0.062706
quicksight_anko,_doc,g7_fVY4BOh4WVcPpBDQc,1,10.096087,HLT-700U,z05-11-04,202624,03/19/2024 4:35:00 pm,0.519042
quicksight_anko,_doc,'-qAyxY0BCGnGzzdjpjl0,1,10.096087,HLT-700U,z05-11-04,202951,02/20/2024 2:31:00 pm,0.072513
quicksight_anko,_doc,T8FAdI4BIDyt7y5vJwLS,1,10.096087,HLT-700U,z05-11-04,202625,03/25/2024 2:12:00 pm,0.085159
quicksight_anko,_doc,MLyg4I4BUuLBa1XBq2Xr,1,10.096087,HLT-700U,z05-11-04,203087,04/15/2024 3:21:00 pm,0.102276
quicksight_anko,_doc,YUig4I4B_cPsdzR4tzec,1,10.096087,HLT-700U,z05-11-04,203087,04/15/2024 3:21:00 pm,0.187761
quicksight_anko,_doc,a8ag4I4BIDyt7y5vy0AP,1,10.096087,HLT-700U,z05-11-04,203087,04/15/2024 3:21:00 pm,0.07107
quicksight_anko,_doc,br0m8I4BUuLBa1XBqEn3,1,10.096087,HLT-700U,z05-11-04,203096,04/18/2024 3:39:00 pm,0.299942
quicksight_anko,_doc,c0km8I4B_cPsdzR4tBCc,1,10.096087,HLT-700U,z05-11-04,203096,04/18/2024 3:39:00 pm,0.224579
quicksight_anko,_doc,hbzA6o4BUuLBa1XB4_SZ,1,10.096087,HLT-700U,z05-11-04,202940,04/17/2024 2:34:00 pm,0.088999
quicksight_anko,_doc,3UjB6o4B_cPsdzR4Zr_X,1,10.096087,HLT-700U,z05-11-04,202940,04/17/2024 2:34:00 pm,0.092713
quicksight_anko,_doc,kE9vcI8B_cPsdzR44K3L,1,10.096087,HLT-700U,z05-11-04,202944,05/13/2024 1:33:00 pm,0.107922
quicksight_anko,_doc,kc10cI8BIDyt7y5vMvzA,1,10.096087,HLT-700U,z05-11-04,202944,05/13/2024 1:37:00 pm,0.184802
quicksight_anko,_doc,top0cI8BOsI23z_SRrZl,1,10.096087,HLT-700U,z05-11-04,202944,05/13/2024 1:37:00 pm,0.11198
quicksight_anko,_doc,roqBdY8BOsI23z_SptZm,1,10.096087,HLT-700U,z05-11-04,202945,05/14/2024 1:13:00 pm,0.133962
quicksight_anko,_doc,u86BdY8BIDyt7y5v3RhC,1,10.096087,HLT-700U,z05-11-04,202945,05/14/2024 1:13:00 pm,0.099529
quicksight_anko,_doc,FIqGdY8BOsI23z_Scdhx,1,10.096087,HLT-700U,z05-11-04,202945,05/14/2024 1:17:00 pm,0.135081
quicksight_anko,_doc,1YtHgI8BOsI23z_S08sM,1,10.096087,HLT-700U,z05-11-04,202945,05/16/2024 3:24:00 pm,0.10832
quicksight_anko,_doc,sshSBI8BIDyt7y5v5Sm0,1,10.096087,HLT-700U,z05-11-04,203093,04/22/2024 1:40:00 pm,0.095584
quicksight_anko,_doc,tkpTBI8B_cPsdzR4RBCh,1,10.096087,HLT-700U,z05-11-04,203093,04/22/2024 1:41:00 pm,0.151415
quicksight_anko,_doc,zkpTBI8B_cPsdzR4iRDq,1,10.096087,HLT-700U,z05-11-04,203093,04/22/2024 1:41:00 pm,0.286662
quicksight_anko,_doc,gUzcN48B_cPsdzR4vdJ2,1,10.096087,HLT-700U,z05-11-04,202941,05/02/2024 1:55:00 pm,0.100421
quicksight_anko,_doc,l0zcN48B_cPsdzR43dL5,1,10.096087,HLT-700U,z05-11-04,202941,05/02/2024 1:55:00 pm,0.078698
